,Name,Nationality,Nationality_codes,Gender,Gender_codes,Discipline,Discipline_codes,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Year,month,experience_dive,experience_discipline
0,Abdelatif Alouach,FRA,31,M,1,CNF,0,72.0,72.0,YELLOW,67.0,Other,NICE ABYSS CONTEST 2019,Depth Competition,2019-06-22,2019,6,1,1
1,Abdelatif Alouach,FRA,31,M,1,CWT,1,95.0,95.0,WHITE,95.0,Ok,NICE ABYSS CONTEST 2019,Depth Competition,2019-06-23,2019,6,2,1
2,Abdelatif Alouach,FRA,31,M,1,CNF,0,83.0,83.0,WHITE,83.0,Ok,AIDA Depth World Championship 2019,World Championship,2019-09-09,2019,9,3,2
3,Abdelatif Alouach,FRA,31,M,1,FIM,3,111.0,111.0,WHITE,111.0,Ok,AIDA Depth World Championship 2019,World Championship,2019-09-11,2019,9,4,1
4,Abdelatif Alouach,FRA,31,M,1,CWT,1,110.0,110.0,WHITE,110.0,Ok,AIDA Depth World Championship 2019,World Championship,2019-09-13,2019,9,5,2
5,Abdelatif Alouach,FRA,31,M,1,CNF,0,70.0,70.0,WHITE,70.0,Ok,NAC AIDA 2021,Depth Competition,2021-06-19,2021,6,6,3
6,Abdelatif Alouach,FRA,31,M,1,CWTB,2,105.0,105.0,WHITE,105.0,Ok,NAC AIDA 2021,Depth Competition,2021-06-20,2021,6,7,1
7,Abdelatif Alouach,FRA,31,M,1,CWTB,2,111.0,111.0,WHITE,111.0,Ok,Depth World Championship,Depth Competition,2021-09-23,2021,9,8,2
8,Abdelatif Alouach,FRA,31,M,1,FIM,3,111.0,111.0,WHITE,111.0,Ok,Depth World Championship,Depth Competition,2021-09-25,2021,9,9,2
9,Abdelatif Alouach,FRA,31,M,1,CNF,0,78.0,78.0,WHITE,78.0,Ok,Depth World Championship,Depth Competition,2021-09-27,2021,9,10,4
10,Abdelatif Alouach,FRA,31,M,1,CWT,1,109.0,109.0,WHITE,109.0,Ok,Depth World Championship,Depth Competition,2021-09-29,2021,9,11,3
11,Abdelatif Alouach,FRA,31,M,1,CNF,0,65.0,65.0,WHITE,65.0,Ok,AIDA NICE ABYSS CONTEST 2022,Depth Competition,2022-06-25,2022,6,12,5
12,Abdelatif Alouach,FRA,31,M,1,CWTB,2,111.0,111.0,WHITE,111.0,Ok,Depth World Championship,Depth Competition,2022-08-18,2022,8,13,3
13,Abdelatif Alouach,FRA,31,M,1,FIM,3,109.0,109.0,WHITE,109.0,Ok,Depth World Championship,Depth Competition,2022-08-20,2022,8,14,3
14,Abdelatif Alouach,FRA,31,M,1,CNF,0,82.0,82.0,WHITE,82.0,Ok,Depth World Championship,Depth Competition,2022-08-22,2022,8,15,6
15,Abdelatif Alouach,FRA,31,M,1,CWT,1,116.0,116.0,WHITE,116.0,Ok,Depth World Championship,Depth Competition,2022-08-24,2022,8,16,4
16,Abdelatif Alouach,FRA,31,M,1,FIM,3,100.0,100.0,WHITE,100.0,Ok,AIDA Cormorant Challenge,Depth Competition,2022-09-11,2022,9,17,4
17,Abdelatif Alouach,FRA,31,M,1,FIM,3,101.0,101.0,WHITE,101.0,Ok,The AIDA Cormorant Depth Challenge,Depth Competition,2023-07-19,2023,7,18,5
18,Abdelatif Alouach,FRA,31,M,1,CNF,0,70.0,70.0,WHITE,70.0,Ok,The AIDA Cormorant Depth Challenge,Depth Competition,2023-07-20,2023,7,19,7
19,Abdelatif Alouach,FRA,31,M,1,CWT,1,110.0,110.0,WHITE,110.0,Ok,Depth World Championship,Depth Competition,2023-09-16,2023,9,20,5
20,Abdelatif Alouach,FRA,31,M,1,CNF,0,86.0,86.0,RED,0.0,Dqpull,Depth World Championship,Depth Competition,2023-09-22,2023,9,21,8
21,Abdelatif Alouach,FRA,31,M,1,CWTB,2,116.0,116.0,WHITE,116.0,Ok,Depth World Championship,Depth Competition,2023-09-24,2023,9,22,4
22,Abdelatif Alouach,FRA,31,M,1,FIM,3,116.0,116.0,WHITE,116.0,Ok,Depth World Championship,Depth Competition,2023-09-27,2023,9,23,6
23,Abdelatif Alouach,FRA,31,M,1,CWT,1,116.0,116.0,WHITE,116.0,Ok,Depth World Championship,Depth Competition,2023-09-29,2023,9,24,6
24,Abdelatif Alouach,FRA,31,M,1,CNF,0,70.0,70.0,WHITE,70.0,Ok,Depth World Championship,Depth Competition,2024-07-27,2024,7,25,9
25,Abdelatif Alouach,FRA,31,M,1,CWTB,2,100.0,100.0,WHITE,100.0,Ok,Depth World Championship,Depth Competition,2024-07-28,2024,7,26,5
26,Abdelatif Alouach,FRA,31,M,1,FIM,3,100.0,100.0,WHITE,100.0,Ok,Depth World Championship,Depth Competition,2024-08-18,2024,8,27,7
27,Abdelatif Alouach,FRA,31,M,1,CNF,0,72.0,72.0,WHITE,72.0,Ok,Depth World Championship,Depth Competition,2024-09-07,2024,9,28,10
28,Abdelatif Alouach,FRA,31,M,1,CWTB,2,103.0,0.0,RED,0.0,"No tag,dqsp",Depth World Championship,Depth Competition,2024-09-10,2024,9,29,6
29,Abdelatif Alouach,FRA,31,M,1,FIM,3,111.0,111.0,WHITE,111.0,Ok,Depth World Championship,Depth Competition,2024-09-15,2024,9,30,8
30,Abdelrahman Farahat,EGY,27,M,1,CWTB,2,33.0,33.0,WHITE,33.0,Ok,Apnea Pirates AIDA Cup - October 2023,Mixed Competition,2023-10-07,2023,10,1,1
31,Abdelrahman Farahat,EGY,27,M,1,FIM,3,33.0,33.0,RED,0.0,"Dqairways,dqbo-surface",Apnea Pirates AIDA Cup - October 2023,Mixed Competition,2023-10-07,2023,10,2,1
32,Abdelrahman Farahat,EGY,27,M,1,CWT,1,33.0,33.0,RED,0.0,Dqbo-surface,Apnea Pirates AIDA Cup - June 2024,Mixed Competition,2024-06-08,2024,6,3,1
33,Abdelrahman Farahat,EGY,27,M,1,FIM,3,33.0,33.0,WHITE,33.0,Ok,Apnea Pirates AIDA Cup - June 2024,Mixed Competition,2024-06-09,2024,6,4,2
34,Abdelrahman Farahat,EGY,27,M,1,CNF,0,17.0,17.0,WHITE,17.0,Ok,Apnea Pirates AIDA Cup - June 2024,Mixed Competition,2024-06-09,2024,6,5,1
